"","topic","numSim","w0","w1","w2","w3","w4","w5","w6","w7","w8","w9"
"575","abbreviations",4,"abbreviations","appendices","glossary_abbreviations","references","","","","","",""
"576","noted",10,"noted","seen","accompanied_by","evident","treatment_related","slight","tumour_incidence","treatmentrelated","histopathological_change","accompanied_by_histopathological_changes"
"577","member_states_when_applying",5,"member_states_when_applying","endpoints_identified_by","eu_commission","end_point_identified","endpoint_identified","","","","",""
"578","on_dietetic_products",10,"on_dietetic_products","allergies","allergies_2014","allergies_nda","allergies_2015","2009_1423","nda_panel","2010_1461","allergies_nda_2009c","2009_1226"
"579","legislation",8,"legislation","eu_legislation","regulations","standards","hygiene_legislation","hygiene_package","rules","legislative_requirements","",""
"580","give",7,"give","provide","make","allow","indicate","generate","obtain","","",""
"581","supplementation",10,"supplementation","supplemental","significantly_increased_faecal_digestibility","zinc_methionate","supplemented","receiving_diets_supplemented","graded_levels","chicks_fed","phosphorus_deficient","microbial_phytase"
"582","difference",4,"difference","significant_difference","significant_differences","difference_between","","","","","",""
"583","s_typhimurium",10,"s_typhimurium","s_enteritidis","s_derby","s_infantis","s_kentucky","serovars","monophasic_s_typhimurium","s_dublin","s_enteridis","salmonella_typhimurium"
"584","handling",10,"handling","transport","equipment","poor_handling","catching","transportation","disinfection","transport_containers","hygienic","mechanical"
"585","last",8,"last","first","later","started","period","next","epidemic_season","until","",""
"586","cover",4,"cover","require","reflect","represent","","","","","",""
"587","previously",6,"previously","recently","been","had_been","had_previously","already","","","",""
"588","eight",10,"eight","nine","six","seven","five","ten","four","twelve","fifteen","three"
"589","consequences",6,"consequences","impact","economic_consequences","breeding_boars","calf_welfare","tor2c","","","",""
"590","piglets",10,"piglets","sows","weaned","piglet","lactating_sows","calves","farrowing_sows","pregnant_sows","chicks","dry_sows"
"591","active",7,"active","hi_serum_antibody","anergic","bloodstream","vaccinated_herds","advanced_stages","passive","","",""
"592","gm_plants",10,"gm_plants","genetically_modified_plants","efsa_2006a_2011a","efsa_2006a","gm_plant","pmem","maize_t25","transformation_events_combined","environmental_risk_assessment","cotton_mon_88913"
"593","e_coli",10,"e_coli","escherichia_coli","klebsiella_pneumoniae","pseudomonas_aeruginosa","staphylococcus_aureus","strains","acinetobacter","escherichia_coli_atcc_25922","staphylococci","virulence_genes"
"594","oxidation",10,"oxidation","hydroxylation","epoxidation","cleavage","decarboxylation","side_chain","subsequent_oxidation","β_oxidation","hydrolysis","omega_oxidation"
"595","recovery",8,"recovery","neck_tension","seps","isoelectric_eeg","cardiac_ventricular_fibrillation","1st_stop_position","loss","sticking_wound","",""
"596","breeding",10,"breeding","rearing","reared","calves","breed","ai_centres","growing","beef_suckler","dry_sows","farrowing_sows"
"597","represent",7,"represent","constitute","potentially","probably","possibly","represents","cover","","",""
"598","detect",10,"detect","detecting","antibody","correctly_identify","diagnose","sensitive","ifn_γ_assay","antibodies","gammainterferon","detect_antibodies"
"599","women",10,"women","men","premenopausal_women","2nd_trimester","pregnant_women","postmenopausal_women","normotensive","adult_men","full_term","community_dwelling"
"600","sampled",10,"sampled","sanctuary","typically_stratified_per","rectal_content","collected_randomly","annual_throughput","sanctuaries","randomly_selected","environmental_samples_boot","collected"
"601","czech_republic",10,"czech_republic","slovenia","slovakia","hungary","estonia","ireland","belgium","poland","luxembourg","latvia"
"602","fact_that",10,"fact_that","moreover","latter","nevertheless","furthermore","however","despite","although","probably","largely"
"603","very",10,"very","often","sometimes","highly","rather","generally","even","still","although","relatively"
"604","calves",10,"calves","lambs","kids","dairy_cows","pigs","veal_calves","horses","heifers","piglets","cows"
"605","ranged_from",4,"ranged_from","ranging_from","varied_from","ranged","","","","","",""
"606","subsequent",8,"subsequent","through","release","prevent","reduce","primary","involves","reducing","",""
"607","migration",4,"migration","pvc","from_polycarbonate_baby","films","","","","","",""
"608","earthworms",10,"earthworms","soil_macroorganisms","macroorganisms","earthworms_soil_macro","aquatic_organisms","soil_macro_organisms","soil_microorganisms","earthworm","sewage_treatment_organisms","earthworms_collembola"
"609","higher_than",7,"higher_than","lower_than","exceeding","exceeded","less_than","higher","lower","","",""
"610","make",8,"make","give","obtain","need","allow","take","provide","difficult","",""
"611","groundwater",4,"groundwater","ground_water","surface_water","leaching","","","","","",""
"612","regions",10,"regions","countries","bordering","backyard_farms","nuts3_regions","asf_notifications","competent_vectors","evros_prefecture","populations","asf_outbreaks"
"613","site",4,"site","sites","gondola","capture","","","","","",""
"614","esters",10,"esters","acids","branched_chain_aliphatic_acyclic","structurally_related","branched_chain_carboxylic_acids","secondary_alcohols","ketones","branchedchain_aliphatic","branchedchain","alicyclic_tertiary_alcohols_aromatic"
"615","susceptible",10,"susceptible","infect","transmitted","susceptible_species","infectious","infected","yhv","hosts","become_infected","transovarially"
"616","placing",7,"placing","market","histomonostats_manufacturing","genetically_modified_carnation_moonlite","21_october_2009","15_july_1991","21_october_2009concerning","","",""
"617","carrots",10,"carrots","strawberries","melons","brussels_sprouts","lentils_peas","cultivated_fungi","peppers","lettuces","peas_without_pods","cauliflower_broccoli"
"618","time_scale",10,"time_scale","ter_trigger","indicator_species","time_peci_pectwa","ter2","timedistance","2d_glass","time_peci_ter","time_scale_ete_ter","time_scale_ete"
"619","vaccination",10,"vaccination","vaccine","vaccinated_animals","emergency_vaccination","virus_circulation","mlv","csf","live_attenuated","sheep_pox","vaccination_against"
"620","reproductive",8,"reproductive","reproduction","developmental","offspring","reproductive_effects","developmental_effects","reproductive_toxicity","neonatal","",""
"621","variation",4,"variation","variability","variations","differences","","","","","",""
"622","available_online_www",10,"available_online_www","2014_3734","doi_10_2903_j","efsa_europa_eu_efsajournal","safety_authority_2015b","2010_1457","2014_3547","e11071","safety_authority_2015a","2013_3295"
"623","carcasses",10,"carcasses","hides","hide","slaughter","evisceration","carcass","immediately_after_slaughter","slaughterline","transport_vehicles","dehiding"
"624","95th_percentile",10,"95th_percentile","97_5th_percentile","95_th_percentile","across_dietary_surveys","95th","95th_percentile_exposures","99th_percentile","brand_loyal_scenario","non_brand_loyal_scenario","adult_population"
"625","annex_vi_trigger",10,"annex_vi_trigger","annex_vi_triggers","ters","ter_values","resulting_ters","acute_ter_values","resulting_ter_values","acute_ters","annex_vi_trigger_indicating","long_term_ter_values"
"626","knowledge",7,"knowledge","understanding","knowledge_about","insights","expertise","paucity","syrian_crisis","","",""
"627","soils",4,"soils","sediment","under_dark","sand","","","","","",""
"628","panel_concludes_that",4,"panel_concludes_that","panel_considers_that","not_been_established","established_between","","","","","",""
"629","herds",10,"herds","herd","vaccinated","flocks","holding","cattle_herds","infected_herds","holdings","infected_animals","vaccinated_animals"
"630","potato",10,"potato","tomato","grape","potatoes","strawberry","cotton","cereals","sunflower","tobacco","sugar_beet"
"631","predicted",6,"predicted","be_metabolised","innocuous_products11_step","innocuous_products","innocuous_products4_step","innocuous_products5_step","","","",""
"632","approaches",10,"approaches","expert_judgements","concepts","rigorously","tools","training_sets","integrate","modelling_approaches","statistical_techniques","possibilities"
"633","regulation_ec_no_1107",7,"regulation_ec_no_1107","540_2011_implementing","august_2011_approving","540_2011","restrictions_affecting","2011_amending_implementing","may_2011_implementing","","",""
"634","microorganisms",6,"microorganisms","micro_organisms","microbes","microbial","bacteria","organisms","","","",""
"635","allergy",8,"allergy","anaphylaxis","atopic_dermatitis","wheat_allergy","allergic","egg_allergy","allergic_children","sensitization","",""
"636","switzerland",10,"switzerland","norway","poland","hungary_ireland","croatia","sweden","denmark_france","spain","slovenia","portugal"
"637","antimicrobial",10,"antimicrobial","nine_antimicrobial","antimicrobials","res1_res9_resistance","sus_susceptible","campylobacter_res1_res5","salmonella_res1_res9","salmonella_sus_susceptible","values_ecoffs","antibiotics"
"638","apply",4,"apply","implement","require","applies","","","","","",""
"639","international",8,"international","research","collaboration","federal","oxford_ltd","organizations","national","government","",""
"640","bioavailability",10,"bioavailability","aspartates","zinc","magnesium_ascorbate","calcium","lmethionate","5_deoxyadenosylcobalamin","tocotrienols","phosphate","silver_hydrosol"
"641","remarks",7,"remarks","may_include_extent","l_phi_minimum","use_economic_importance","pre_harvest_interval_remarks","provided_phi_minimum","pre_harvest_interval","","",""
"642","antimicrobials",10,"antimicrobials","fluoroquinolones","macrolides","cephalosporins","quinolones","antimicrobial_classes","antimicrobial","third_generation_cephalosporins","isolates_exhibiting","tetracyclines"
"643","been",9,"been","also_been","not_been","recently_been","recently","previously","so_far","yet","previously_been",""
"644","clinical_signs",10,"clinical_signs","signs","clinical_symptoms","lesions","diarrhoea","clinical_sign","lethargy","convulsions","salivation","tremors"
"645","flock",10,"flock","flocks","holding","herd","this_criterion_selects","holdings","fattening_turkeys_breeding_turkeys","shall_consist","per_holding","vaccination_status"
"646","nutrient",4,"nutrient","intake_rni","magnesium","scf_1993","","","","","",""
"647","normally",7,"normally","usually","typically","they","generally","often","so","","",""
"648","demonstrate",5,"demonstrate","confirm","demonstrating","prove","determine","","","","",""
"649","liquid",10,"liquid","solid","powder","dried","spray_dried","dissolving","hermetic","dehydrated","powders","emulsions"
"650","environmental_risk_assessment",8,"environmental_risk_assessment","era","pmem","gm_plants","general_surveillance_gs","full_scale_commercialisation","gmps","efsa_2006b_2011c","",""
"651","rapid",4,"rapid","efficient","allowing","intradermal_test","","","","","",""
"652","susceptibility",7,"susceptibility","virulence","genetic","resistance","transmissibility","genotypes","ability","","",""
"653","chromium",10,"chromium","selenium","zinc","magnesium","aspartates","fluoride","iron","copper","manganese","molybdenum"
"654","work",10,"work","chairs","practical_experience","effort","ec_funded_projects","responsibility","engagement","your_expertise","engage","advice"
"655","reducing",10,"reducing","reduce","preventing","minimising","reduces","reduction","microbial_cross_contamination","increase","minimise","microbial_crosscontamination"
"656","assessing",4,"assessing","evaluating","risks","when_assessing","","","","","",""
"657","panel_concluded_that",5,"panel_concluded_that","panel_concluded","quinine_salts","do_not_preclude_evaluating","cef_panel_concluded_that","","","","",""
"658","insects",6,"insects","arthropods","burrowing","prey","predators","insect","","","",""
"659","stunning",10,"stunning","lower_stunning","electrical_stunning","upper_re_stunning","gas_stunning","lower_re_stunning","shackling","head_only","neck_cutting","captive_bolt"
"660","slovakia",10,"slovakia","slovenia","estonia","czech_republic","lithuania","hungary","romania","luxembourg","poland","lithuania_romania"
"661","inhalation",9,"inhalation","dermal","dermal_route","dermal_routes","inhalation_route","via_inhalation","inhalative_route","dermal_exposure","oral_dermal",""
"662","food_borne_outbreaks",10,"food_borne_outbreaks","community_summary_report","foodborne_outbreaks","zoonoses_zoonotic_agents","appendix_table_sa12","table_ye3","zoonoses","appendix_table_sa3","appendix_table_tr1","table_vt9"
"663","estonia",10,"estonia","slovakia","slovenia","lithuania","czech_republic","poland","latvia","ireland","luxembourg","cyprus_greece_hungary"
"664","fatty_acids",10,"fatty_acids","fatty_acid","palmitic_acid","triacylglycerols","polyunsaturated_fatty_acids","long_chain","polyunsaturated","stearidonic_acid","phospholipids","linoleic_acid"
"665","iodine",10,"iodine","molybdenum","zinc_copper","selenium","copper","iron","chromium","plasma_serum","adolescent_females","calcium_phosphorus"
"666","essential",5,"essential","important","vital","crucial","valuable","","","","",""
"667","forms",4,"forms","form","components","lipid_soluble","","","","","",""
"668","associated",10,"associated","possibly","affecting","secondary","h5n1_hpaiv","caused_by","ndv_strains","rvf_virus","lentiviral","causes"
"669","supporting_substances",10,"supporting_substances","four_candidate_substances","candidate_substances","approximately_75000","five_candidate_substances","nine_candidate_substances","six_candidate_substances","candidate_substance","divided_into_subgroups","seven_candidate_substances"
"670","single_application",6,"single_application","multiple_application","multiple_applications","pecsw","apart_from_r1_pond","winter_osr","","","",""
"671","planting",10,"planting","ware_potatoes","herbaceous_species","potted_plants","entry_pathway_iv","planting_cut_flowers","graft_propagation","solanaceae_intended","family_gramineae_intended","leaves_cut_branches"
"672","specificity",10,"specificity","sensitivity","ielisa2_estimate_std","mrbt_estimate_std","ielisa1_estimate_std","fpa_estimate_std","ielisa3_estimate_std","rbt_estimate_std","celisa1_estimate_std","celisa2_estimate_std"
"673","induction",10,"induction","germ_cells","ssbs","dna_damage","bone_marrow_cells","repair","dna_repair","dna_breakage","chromosome_loss","genotoxic_effects"
"674","allergenicity",5,"allergenicity","newly_expressed_proteins","allergenic_potential","potential_allergenicity","newly_expressed_protein","","","","",""
"675","toxicol",6,"toxicol","274_279","resource_economics","139_145","933_938","clinical_gastroenterology","","","",""
"676","amended",4,"amended","no_380_20134","88_379","no_1490_20022","","","","","",""
"677","safety_factor",8,"safety_factor","an_uncertainty_factor","standard_uf","uf","extra_factor","standard_uncertainty_factor","additional_uncertainty_factor","uncertainty_factor_uf","",""
"678","carbofuran",10,"carbofuran","benfuracarb","carbosulfan","3_oh_carbofuran","carbofuran_3oh_carbofuran","carbofuran_7phenol","3_keto_carbofuran","fenamiphos_sulfone","methomyl","3_ketocarbofuran"
"679","chemical_group",10,"chemical_group","chemical_groups","pyridine_pyrrole_indole","fge_16rev1_aromatic_ketones","34_one_tetrahydroquinoline","fge_48_aminoacetophenone","related_esters","miscellaneous_substances","thiazoles_thiophenes_thiazoline","fge_17_rev1"
"680","movement",10,"movement","movements","live","trade","spreading","uncontrolled_movement","quarantine","culling","transboundary_movement","racing_pigeons"
"681","414_eec",10,"414_eec","under_directive_91","include_trifloxystrobin_carfentrazone","include_abamectin_epoxiconazole","ethyl_mesotrione_fenamidone","fluazinam_fuberidazole","benthiavalicarb_boscalid","include_imazamox_oxasulfuron","ethoxysulfuron_foramsulfuron_oxadiargyl","include_flutolanil_benfluralin"
"682","developmental_toxicity",10,"developmental_toxicity","developmental_effects","neurotoxicity","developmental","teratogenicity","reproductive_toxicity","prenatal_developmental_toxicity","multigeneration_study","chronic_toxicity","repeat_dose_toxicity"
"683","risk_assessment_area",10,"risk_assessment_area","pra_area","widely_present","partially_effective_barriers","open_fields_orchards","are_mostly_unsuitable","chrysanthemum_morifolium_plants","are_frequently_unsuitable","areas_where_host_plants","host_plants"
"684","potentially",10,"potentially","possibly","selecting_migratory_bird","infective_faeces","probably","arriving_vectors","mechanical_vectors","represent","still","hence"
"685","useful",10,"useful","valuable","better","practical","be_helpful","helpful","very_useful","offer","sound","very_difficult"
"686","implementation",4,"implementation","multiannual","eradication","rules","","","","","",""
"687","ability",7,"ability","capacity","enhance","cope_with_stressors","osmoregulate","response","susceptibility","","",""
"688","carcass",10,"carcass","carcasses","slaughter","carcase","viscera","evisceration","slaughter_process","slaughterline","fleece_hide","slaughterhouse"
"689","herd",10,"herd","herds","holding","flock","vaccinated","flocks","tb_free","within_herd_prevalence","vaccinated_animals","tuberculin_skin_test"
"690","human_consumption",4,"human_consumption","nshc_slaughtered","destined","including_degreased_bones","","","","","",""
"691","local",10,"local","bordering_countries","sandfly","arriving_vectors","political_unrest","densely_populated_poultry","hunting_practices","culicoides_midges","vector_densities","rvf_virus"
"692","kg_b_w",10,"kg_b_w","per_day","mg_ni","nicl2","μg","mg_ammonium_perchlorate","mg_nicl2","mg_sodium_chlorate","niso4","mg_kg_b_w"
"693","molecular_weight",5,"molecular_weight","molecular_mass","g_mol","molecular_formula","c11h12n2o2","","","","",""
"694","energy",9,"energy","fibre","utilisation","energy_expenditure","supply","nitrogen_losses","nitrogen","nitrogen_utilization","phosphorus",""
"695","commission_regulation_eu",10,"commission_regulation_eu","231_201210","amending_annex_ii","20119","20128","380_2013","no_1141_2010","2011_implementing_regulation_ec","20118","2011implementing"
"696","mutagenicity",10,"mutagenicity","mutagenic_activity","mutagenic_potential","gene_mutation","clastogenicity","ames_salmonella","toothpaste_ingredients","g70437","microsome_reverse","cytogenetic"
"697","infectivity",10,"infectivity","infectious_titre","prpsc","bse_infectivity","bseinfected_cattle","prptse","abnormal_prp","bse","prp_sc","attack_rate"
"698","arsenic",8,"arsenic","heavy_metals","heavy_metals_cadmium_lead","mercury","mercury_cadmium","fluorine","arsenic_lead_cadmium","heavy_metals_lead_cadmium","",""
"699","http_ec",10,"http_ec","europa_eu_food_fs","europa_eu_food","pdf","sc_scv","sc_scf_reports_scf_reports_35","food_rapidalert_index_en_htm","07_en","sc_oldcomm6_other","sc_oldcomm7_out13_en_html"
"700","degree",9,"degree","complexity","rather_than","extent","depends_on","capacity","frequency","increasing","sess",""
"701","dairy_cows",10,"dairy_cows","calves","pigs","veal_calves","dairy_cattle","lactating_sows","sows","lambs","piglets","kids"
"702","feed_additives",10,"feed_additives","zinc_e6","niacinamide_nicotinamide","lancer_lanthanide_citrate","manganese_e5","copper_compounds_e4","iron_e1","vevovitall_benzoic_acid","coxidin_monensin_sodium","biosaf_sc47_saccharomyces_cerevisiae"
"703","restrictions",7,"restrictions","handling_if_appropriate","respiratory_sensitiser_wear","if_appropriate_specific","complementary_feedingstuffs_if_appropriate","handling_post_market","labeling_specific_conditions","","",""
"704","bovine",10,"bovine","sheep","cattle","tissues","caprine","goats","gelatine_tallow","tse","ovine","goat"
"705","severe",10,"severe","mild","conjunctivitis","fever","hyperthermia","diarrhoea","respiratory_signs","causes","lesions","emaciation"
"706","ethanol",6,"ethanol","solubility","freely_soluble","acetic_acid","ether","methanol_ethanol","","","",""
"707","eu_register_name",4,"eu_register_name","jecfa_2006a_fl_no","msdi_approach_fl_no","msdi_approach_jecfa_1999a","","","","","",""
"708","μg_kg",4,"μg_kg","µg_kg","ng_kg","b_w","","","","","",""
"709","always",10,"always","actually","fully","unless","because_they","well","very","still","so","sometimes"
"710","lower_than",5,"lower_than","higher_than","lowest","much_lower_than","exceeded","","","","",""
"711","prevent",10,"prevent","eliminate","reduce","avoid","minimise","minimize","effectively","ensure","whenever_necessary","osmoregulate"
"712","pears",10,"pears","peaches","oranges","mandarins","table_grapes","apricots","apples_pears","bananas","cherries","cucumbers"
"713","probably",10,"probably","even","most_likely","very","still","possibly","aquacultured_vs","generally","although","primarily"
"714","larvae",10,"larvae","larval","pupae","larva","nymphs","drone","juveniles","larval_stage","hatching","sealed_brood"
"715","parameter",10,"parameter","bayesian_posterior","conditional_prevalence","marginal_prevalence","inverse","mql1","aicc","standardised_shift","weibull_distribution","test1_minus"
"716","bacterial",10,"bacterial","bacteria","gram_positive","strains","gram_negative_bacteria","staphylococcus_epidermidis","pathogenic","candida_albicans","gram_positive_bacteria","microbial"
"717","s_enteritidis",10,"s_enteritidis","s_typhimurium","s_infantis","salmonella_serovars","figure_sa20","s_derby","s_dublin","serovars","s_enteridis","s_kentucky"
"718","month",5,"month","year","production_sampmatinfo_prodm","production_sampmatinfo_prodd","week","","","","",""
"719","radioactivity",10,"radioactivity","total_radioactivity","recovered_radioactivity","bile","administered_dose","radiolabel","excreta","administered_radioactivity","urine","recovered"
"720","flavis_secretariat",9,"flavis_secretariat","by_effa","unpublished_communication","unpublished_report_submittec","upublished_data","seceratriat","unpublished_report_submitted","unpublished_data","unpublished_ata_submitted",""
"721","introduced",5,"introduced","introduced_into","endemic_epizootic","sentinel_birds","introducing","","","","",""
"722","serovars",10,"serovars","s_infantis","s_kentucky","s_enteritidis","s_dublin","s_typhimurium","s_newport","s_derby","s_java","monophasic_s_typhimurium"
"723","interpretation",4,"interpretation","robustness","reproducibility","limitations","","","","","",""
"724","thank",10,"thank","panel_wishes","members","eu_acknowledgement","correspondence_feedap_efsa_europa","working_groups","working_group","wishes","correspondence_gmo_efsa_europa","correspondence_fip_efsa_europa"
"725","beans_with",10,"beans_with","pods_beans_with","pods_peas_without_pods","pods_strawberries","pods_peas","peppers_beans","with_pods_beans","beans_without_pods","pods_cultivated_fungi","pods_cucumbers_cucumbers"
"726","gm_plant",10,"gm_plant","non_gm_comparator","target_organisms","maize_mon_87427","maize_nk603_t25","potential_interactions","soybean_mon_87705_mon","89788","gm_cotton","oilseed_rape_mon_88302"
"727","genetic",10,"genetic","molecular","virulence","evolutionary","antigenic","susceptibility","phenotype","human_prion_diseases","tissue_tropism","new_insights_into"
"728","enzyme",9,"enzyme","protease","enzymes","by_submerged_fermentation","enzymatic_activity","enzymatic","biosynthesis","enzyme_activity","recipient_strain",""
"729","cats",10,"cats","dogs","horses","pets","pigeons","cassia_gum_diagum_cs","ducks","cats_dogs","domestic","buffaloes"
"730","risk_factors",6,"risk_factors","mastitis","respiratory_disorders","respiratory_diseases","tail_biting","welfare_consequences","","","",""
"731","problems",10,"problems","welfare_problems","post_capture","poor","starving","redirected_behaviour","therapeutants","stress","maladaptative","cannot_maintain_homeostasis"
"732","mg_eq_kg",10,"mg_eq_kg","trr","30_dat","wheat_forage","wheat_straw","120_dat","radish_roots","radish_root","015_mg_eq","003_mg_eq"
"733","peaches",10,"peaches","mandarins","pears","oranges","cherries","apricots","plums","leek","apples_pears","head_cabbage"
"734","young",10,"young","juvenile","suckling","kindling","adult","new_born","kept_indoors","rooting_behaviour","singly_housed","artificially_reared"
"735","responses",5,"responses","response","stimuli","induce","stimulation","","","","",""
"736","algae",10,"algae","aquatic_invertebrates","aquatic_plants","fish_daphnia","daphnids","chironomus_riparius","sediment_dwelling_organisms","aquatic_insects","lemna","daphnia_magna"
"737","was_asked",10,"was_asked","deliver","deliver_an_opinion","allergies_nda","nutrient_sources_added","processing_aids_cef_panel","bioreduction_application","food_ans","provide_urgent","on_dietetic_products"
"738","showing",9,"showing","show","showed","moreover","shows","demonstrating","indicating","indicate","suggesting",""
"739","develop",10,"develop","become","require","fail","adapt","recognise","able","offer","facilitate","more_difficult"
"740","ames_test",10,"ames_test","rec_assay","reverse_mutation_assay","ames_assay","mutation_assay","gene_mutation_assay","mouse_lymphoma_assay","chromosomal_aberration_assay","hprt_assay","bacterial_reverse_mutation_assay"
"741","improve",10,"improve","minimise","facilitate","optimise","help","enable","avoid","better","ensure","encourage"
"742","lc50",10,"lc50","noec","lc10","noeccorr","ec50","ebc50","lc50corr","48_h_ec50","96_h","kg_bw_bobwhite_quail"
"743","all_representative_uses",10,"all_representative_uses","evaluated_submission_date_proposed","applicant_unknown_see_section","submission_date_proposed","notifiers_unknown_see_section","applicant_unknown_see_sections","data_gap","formulation_recipe","date_proposed","applicant_unknown"
"744","reasons",4,"reasons","reason","main_reasons","purposes","","","","","",""
"745","kg_bw",10,"kg_bw","kg_bw_per_day","kg_bw_day","tpgs_kg_bw","aluminium_nitrate_nonahydrate","per_day","propyl_gallate_kg_bw","hmt_kg_bw","day4","aluminium_lactate"
"746","complex",10,"complex","closely_linked","central_role","monovalent_cations","biological_processes","complexes","compact","biochemical_reactions","diverse","physiological_processes"
"747","maternal",10,"maternal","foetal","fetal","offspring","postnatal","decreased_body_weight_gain","during_lactation","neonatal","during_gestation","maternal_toxicity"
"748","sugar_beet",10,"sugar_beet","oilseed_rape","sunflower","sugar_beets","potatoes","grapes","winter_wheat","hops","cucumber","tomatoes"
"749","reach",5,"reach","become","remain","again","close","","","","",""
"750","requires",10,"requires","allows","require","includes","makes","must","would_allow","allowing","alternative","ensuring"
"751","once",10,"once","again","then","before","later","completely","immediately","even_if","blinking_reflex_test","throughout"
"752","good",10,"good","poor","good_welfare","practical","behavioural_needs","carry_out_certain_behaviours","high_research_priorities","strongly_motivated","properly_designed","humane"
"753","vectors",10,"vectors","vector_species","exotic","vector","hosts","susceptible_species","insect_vectors","host_species","competent_vectors","xylem_sap_feeding"
"754","acceptable_daily_intake",4,"acceptable_daily_intake","acceptable_operator_exposure","acute_reference","level_aoel","","","","","",""
"755","density",4,"density","densities","size","population_density","","","","","",""
"756","ethyl",10,"ethyl","methyl","butyl","dimethyl","propyl","2methyl","isopropyl","methoxy","2methoxy","methoxyphenyl"
"757","asked",4,"asked","advise","requested","commission","","","","","",""
"758","yield",10,"yield","corresponding_alcohol","aldehyde_function","anisic_acid_p_methoxybenzoic","subsequently_undergo","undergoes_alpha","oxidised","voet_voet_1990","linear_carboxylic_acid","hydrolysed"
"759","oils",10,"oils","fats","oils_essentially_free","vegetable_oils","fat_emulsions_type","excluding_cocoa_butter","milkfat","beverages_excepting_milk","water_excluding_anhydrous","vegetable_juices_non_alcoholic"
"760","unspecified",10,"unspecified","sandwiches","pasta_rice","pâté","thermised_milk","prepared_dishes","seeds_sprouted","meat_balls","mayonnaise_at_retail","cheeses"
"761","provisions",4,"provisions","regulation","article","accordance_with","","","","","",""
"762","exceed",4,"exceed","exceeding","exceeded","well_below","","","","","",""
"763","unpublished_report_submitted",8,"unpublished_report_submitted","unpublished_report_submittec","unpublished_data","unpublished_communication","flavis_secretariat","upublished_data","unpublished_ata_submitted","by_effa","",""
"764","stress",10,"stress","fear","pain","injuries","aggression","poor","injury","heat_stress","stomach_ulcers","forced_weaning_procedures"
"765","pecsw",10,"pecsw","pec_sw","pecsw_values","pecs","pecsed","initial_pec","initial_pecsw","pecsw_sed","multiple_applications","apart_from_r1_pond"
"766","rather_than",10,"rather_than","perhaps","making","suggests_that","degree","better","possibly","rather","encountering","even"
"767","weeds",10,"weeds","field_margin_adjacent","field_field_margin2","field_margin","adjacent_crop_adjacent_crop","crop_succeeding_crop5","trees","adjacent_crop","vegetation","orchard"
"768","cows",10,"cows","cow","bulls","calf","heifers","calves","lambs","ewes","calving","artificially_reared"
"769","elements",10,"elements","fcds","quantifiers","data_collection_domain","dwh","foodex2_facets","catalogueversion","gde2","operands","domains"
"770","variety",5,"variety","wide_range","wide_variety","large_number","broad_range","","","","",""
"771","temperatures",10,"temperatures","temperature","ambient_temperatures","higher_temperatures","ambient_temperature","lower_temperatures","humidity","relative_humidity","ºc","relative_humidities"
"772","chicken",6,"chicken","turkey","breaded_turkey_products","duck","chicken_meat","pork_meat","","","",""
"773","fluoride",10,"fluoride","molybdenum","chromium","magnesium","calcium_fluoride","iron","boron","sodium_monofluorophosphate","selenium","pantothenic_acid"
"774","toxin",4,"toxin","toxins","mycotoxin","fusarium_tricinctum","","","","","",""
"775","genotoxic",9,"genotoxic","mutagenic","carcinogenic","non_genotoxic","genotoxic_potential","carcinogenic_potential","clastogenic","genotoxic_effects","clastogenicity",""
"776","table_grapes",10,"table_grapes","chinese_cabbage","peppers","head_cabbage","oranges","witloof","peas_without_pods","pears","leek","apples_pears"
"777","s_typhimurium_ta98_ta100",10,"s_typhimurium_ta98_ta100","ta1535_ta1537_ta1538","s_typhimurium_ta97_ta98","ta1535_ta1537_s_typhimurium","ta98_ta100_ta1535_ta1537","s_typhimurium_ta92_ta98","ta98_ta100_s_typhimurium","ta98_ta100","ta100_ta1535_ta1537_ta1538","ta1537_s_typhimurium"
"778","endpoints_identified_by",5,"endpoints_identified_by","member_states_when_applying","end_point_identified","endpoint_identified","eu_commission","","","","",""
"779","mechanism",10,"mechanism","mechanisms","action","mediated","mediated_via","exact_mechanism","mode","dna_reactive","thyroid_hormone_signalling","bbb"
"780","forage",10,"forage","fodder","kernels","maize_silage","grain","sorghums","corn","hulls","husk","seed"
"781","white",4,"white","raw_milk_pasteurised_milk","process_uht_milk","unpasteurised_cheese","","","","","",""
"782","epidemiology",10,"epidemiology","bluetongue","infectious_diseases","rift_valley_fever","lumpy_skin_disease","epizootiology","african_horse_sickness","rinderpest","southern_africa","infectious_disease"
"783","oilseed_rape",10,"oilseed_rape","sugar_beet","winter_wheat","sunflower","potatoes","cotton","vines","rape","oil_seed_rape","pre_emergence_applications"
"784","genes",10,"genes","gene","encoding","encoded_by","plasmids","expression","genetic_elements","phenotypes","plasmid","agrobacterium"
"785","vitamin",10,"vitamin","copper","vitamin_b12","selenium","magnesium","lead_cadmium_zinc","vitamin_b6","retinol","phosphorus","supplemental"
"786","gallus_gallus",10,"gallus_gallus","salmonella_enteritidis_isolates","mss_reporting_isolate_based","countries_reporting_mic","gallus_gallus1","broiler_flocks","campylobacter_coli_from","laying_hen_flocks","mss_reporting_isolatebased_data","ciprofloxacin_resistance_among"
